GEO,population,val_norm,Date,Cause of death (ICD-10),rate
Yukon,42986,,2020-01-18,"COVID-19 [U07.1,U07.2]",
Yukon,42986,,2020-01-18,"COVID-19, virus identified  [U07.1]",
Yukon,42986,,2020-01-18,"COVID-19, virus not identified  [U07.2]",
Yukon,42986,,2020-01-18,Ill-defined and unspecified causes of mortality [R99],
Yukon,42986,,2020-01-18,Information unavailable,
Yukon,42986,,2020-01-18,All other causes of death,
Northwest Territories,45504,0,2020-01-18,"Total, all causes of death [A00-Y89]",0
Northwest Territories,45504,0,2020-01-18,Malignant neoplasms [C00-C97],0
Northwest Territories,45504,0,2020-01-18,Diabetes mellitus [E10-E14],0
Northwest Territories,45504,0,2020-01-18,Alzheimer's disease [G30],0
Northwest Territories,45504,0,2020-01-18,"Diseases of heart [I00-I09, I11, I13, I20-I51]",0
Northwest Territories,45504,0,2020-01-18,Cerebrovascular diseases [I60-I69],0
Northwest Territories,45504,0,2020-01-18,Influenza and pneumonia [J09-J18],0
Northwest Territories,45504,0,2020-01-18,Chronic lower respiratory diseases [J40-J47],0
Northwest Territories,45504,0,2020-01-18,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Northwest Territories,45504,0,2020-01-18,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Northwest Territories,45504,5,2020-01-18,"Intentional self-harm (suicide) [X60-X84, Y87.0]",11
Northwest Territories,45504,0,2020-01-18,"COVID-19 [U07.1,U07.2]",0
Northwest Territories,45504,0,2020-01-18,"COVID-19, virus identified  [U07.1]",0
Northwest Territories,45504,0,2020-01-18,"COVID-19, virus not identified  [U07.2]",0
Northwest Territories,45504,0,2020-01-18,Ill-defined and unspecified causes of mortality [R99],0
Northwest Territories,45504,0,2020-01-18,Information unavailable,0
Northwest Territories,45504,0,2020-01-18,All other causes of death,0
Nunavut,39403,0,2020-01-18,"Total, all causes of death [A00-Y89]",0
Nunavut,39403,0,2020-01-18,Malignant neoplasms [C00-C97],0
Nunavut,39403,0,2020-01-18,Diabetes mellitus [E10-E14],0
Nunavut,39403,0,2020-01-18,Alzheimer's disease [G30],0
Nunavut,39403,0,2020-01-18,"Diseases of heart [I00-I09, I11, I13, I20-I51]",0
Nunavut,39403,0,2020-01-18,Cerebrovascular diseases [I60-I69],0
Nunavut,39403,0,2020-01-18,Influenza and pneumonia [J09-J18],0
Nunavut,39403,0,2020-01-18,Chronic lower respiratory diseases [J40-J47],0
Nunavut,39403,0,2020-01-18,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Nunavut,39403,0,2020-01-18,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Nunavut,39403,0,2020-01-18,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Nunavut,39403,0,2020-01-18,"COVID-19 [U07.1,U07.2]",0
Nunavut,39403,0,2020-01-18,"COVID-19, virus identified  [U07.1]",0
Nunavut,39403,0,2020-01-18,"COVID-19, virus not identified  [U07.2]",0
Nunavut,39403,0,2020-01-18,Ill-defined and unspecified causes of mortality [R99],0
Nunavut,39403,0,2020-01-18,Information unavailable,0
Nunavut,39403,0,2020-01-18,All other causes of death,0
Canada,38246108,6165,2020-01-25,"Total, all causes of death [A00-Y89]",16
Canada,38246108,1610,2020-01-25,Malignant neoplasms [C00-C97],4
Canada,38246108,165,2020-01-25,Diabetes mellitus [E10-E14],0
Canada,38246108,130,2020-01-25,Alzheimer's disease [G30],0
Canada,38246108,1150,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Canada,38246108,315,2020-01-25,Cerebrovascular diseases [I60-I69],1
Canada,38246108,210,2020-01-25,Influenza and pneumonia [J09-J18],1
Canada,38246108,295,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
Canada,38246108,75,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Canada,38246108,280,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Canada,38246108,110,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Canada,38246108,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Canada,38246108,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Canada,38246108,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Canada,38246108,100,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
Canada,38246108,15,2020-01-25,Information unavailable,0
Canada,38246108,1710,2020-01-25,All other causes of death,4
Newfoundland and Labrador,520553,105,2020-01-25,"Total, all causes of death [A00-Y89]",20
Newfoundland and Labrador,520553,35,2020-01-25,Malignant neoplasms [C00-C97],7
Newfoundland and Labrador,520553,5,2020-01-25,Diabetes mellitus [E10-E14],1
Newfoundland and Labrador,520553,0,2020-01-25,Alzheimer's disease [G30],0
Newfoundland and Labrador,520553,20,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",4
Newfoundland and Labrador,520553,5,2020-01-25,Cerebrovascular diseases [I60-I69],1
Newfoundland and Labrador,520553,5,2020-01-25,Influenza and pneumonia [J09-J18],1
Newfoundland and Labrador,520553,10,2020-01-25,Chronic lower respiratory diseases [J40-J47],2
Newfoundland and Labrador,520553,0,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Newfoundland and Labrador,520553,0,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Newfoundland and Labrador,520553,5,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",1
Newfoundland and Labrador,520553,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Newfoundland and Labrador,520553,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Newfoundland and Labrador,520553,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Newfoundland and Labrador,520553,5,2020-01-25,Ill-defined and unspecified causes of mortality [R99],1
Newfoundland and Labrador,520553,0,2020-01-25,Information unavailable,0
Newfoundland and Labrador,520553,25,2020-01-25,All other causes of death,5
Prince Edward Island,164318,25,2020-01-25,"Total, all causes of death [A00-Y89]",15
Prince Edward Island,164318,5,2020-01-25,Malignant neoplasms [C00-C97],3
Prince Edward Island,164318,0,2020-01-25,Diabetes mellitus [E10-E14],0
Prince Edward Island,164318,0,2020-01-25,Alzheimer's disease [G30],0
Prince Edward Island,164318,5,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Prince Edward Island,164318,0,2020-01-25,Cerebrovascular diseases [I60-I69],0
Prince Edward Island,164318,0,2020-01-25,Influenza and pneumonia [J09-J18],0
Prince Edward Island,164318,5,2020-01-25,Chronic lower respiratory diseases [J40-J47],3
Prince Edward Island,164318,0,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Prince Edward Island,164318,0,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Prince Edward Island,164318,0,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Prince Edward Island,164318,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Prince Edward Island,164318,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Prince Edward Island,164318,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Prince Edward Island,164318,5,2020-01-25,Ill-defined and unspecified causes of mortality [R99],3
Prince Edward Island,164318,0,2020-01-25,Information unavailable,0
Prince Edward Island,164318,5,2020-01-25,All other causes of death,3
Nova Scotia,992055,190,2020-01-25,"Total, all causes of death [A00-Y89]",19
Nova Scotia,992055,50,2020-01-25,Malignant neoplasms [C00-C97],5
Nova Scotia,992055,10,2020-01-25,Diabetes mellitus [E10-E14],1
Nova Scotia,992055,5,2020-01-25,Alzheimer's disease [G30],1
Nova Scotia,992055,40,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",4
Nova Scotia,992055,15,2020-01-25,Cerebrovascular diseases [I60-I69],2
Nova Scotia,992055,5,2020-01-25,Influenza and pneumonia [J09-J18],1
Nova Scotia,992055,10,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
Nova Scotia,992055,0,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Nova Scotia,992055,10,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Nova Scotia,992055,0,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Nova Scotia,992055,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Nova Scotia,992055,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Nova Scotia,992055,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Nova Scotia,992055,0,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
Nova Scotia,992055,0,2020-01-25,Information unavailable,0
Nova Scotia,992055,50,2020-01-25,All other causes of death,5
New Brunswick,789225,145,2020-01-25,"Total, all causes of death [A00-Y89]",18
New Brunswick,789225,40,2020-01-25,Malignant neoplasms [C00-C97],5
New Brunswick,789225,5,2020-01-25,Diabetes mellitus [E10-E14],1
New Brunswick,789225,5,2020-01-25,Alzheimer's disease [G30],1
New Brunswick,789225,30,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",4
New Brunswick,789225,10,2020-01-25,Cerebrovascular diseases [I60-I69],1
New Brunswick,789225,5,2020-01-25,Influenza and pneumonia [J09-J18],1
New Brunswick,789225,10,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
New Brunswick,789225,0,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
New Brunswick,789225,10,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
New Brunswick,789225,5,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",1
New Brunswick,789225,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
New Brunswick,789225,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
New Brunswick,789225,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
New Brunswick,789225,0,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
New Brunswick,789225,0,2020-01-25,Information unavailable,0
New Brunswick,789225,35,2020-01-25,All other causes of death,4
Quebec,8604495,1510,2020-01-25,"Total, all causes of death [A00-Y89]",18
Quebec,8604495,420,2020-01-25,Malignant neoplasms [C00-C97],5
Quebec,8604495,30,2020-01-25,Diabetes mellitus [E10-E14],0
Quebec,8604495,45,2020-01-25,Alzheimer's disease [G30],1
Quebec,8604495,275,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Quebec,8604495,70,2020-01-25,Cerebrovascular diseases [I60-I69],1
Quebec,8604495,60,2020-01-25,Influenza and pneumonia [J09-J18],1
Quebec,8604495,70,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
Quebec,8604495,25,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Quebec,8604495,70,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Quebec,8604495,30,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Quebec,8604495,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Quebec,8604495,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Quebec,8604495,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Quebec,8604495,15,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
Quebec,8604495,5,2020-01-25,Information unavailable,0
Quebec,8604495,390,2020-01-25,All other causes of death,5
Ontario,14826276,2270,2020-01-25,"Total, all causes of death [A00-Y89]",15
Ontario,14826276,600,2020-01-25,Malignant neoplasms [C00-C97],4
Ontario,14826276,55,2020-01-25,Diabetes mellitus [E10-E14],0
Ontario,14826276,35,2020-01-25,Alzheimer's disease [G30],0
Ontario,14826276,390,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Ontario,14826276,100,2020-01-25,Cerebrovascular diseases [I60-I69],1
Ontario,14826276,90,2020-01-25,Influenza and pneumonia [J09-J18],1
Ontario,14826276,100,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
Ontario,14826276,25,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Ontario,14826276,125,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Ontario,14826276,25,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Ontario,14826276,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Ontario,14826276,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Ontario,14826276,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Ontario,14826276,20,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
Ontario,14826276,0,2020-01-25,Information unavailable,0
Ontario,14826276,690,2020-01-25,All other causes of death,5
Manitoba,1383765,235,2020-01-25,"Total, all causes of death [A00-Y89]",17
Manitoba,1383765,55,2020-01-25,Malignant neoplasms [C00-C97],4
Manitoba,1383765,5,2020-01-25,Diabetes mellitus [E10-E14],0
Manitoba,1383765,5,2020-01-25,Alzheimer's disease [G30],0
Manitoba,1383765,45,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Manitoba,1383765,20,2020-01-25,Cerebrovascular diseases [I60-I69],1
Manitoba,1383765,5,2020-01-25,Influenza and pneumonia [J09-J18],0
Manitoba,1383765,5,2020-01-25,Chronic lower respiratory diseases [J40-J47],0
Manitoba,1383765,0,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Manitoba,1383765,10,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Manitoba,1383765,5,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Manitoba,1383765,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Manitoba,1383765,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Manitoba,1383765,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Manitoba,1383765,10,2020-01-25,Ill-defined and unspecified causes of mortality [R99],1
Manitoba,1383765,0,2020-01-25,Information unavailable,0
Manitoba,1383765,60,2020-01-25,All other causes of death,4
Saskatchewan,1179844,195,2020-01-25,"Total, all causes of death [A00-Y89]",17
Saskatchewan,1179844,45,2020-01-25,Malignant neoplasms [C00-C97],4
Saskatchewan,1179844,10,2020-01-25,Diabetes mellitus [E10-E14],1
Saskatchewan,1179844,0,2020-01-25,Alzheimer's disease [G30],0
Saskatchewan,1179844,50,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",4
Saskatchewan,1179844,5,2020-01-25,Cerebrovascular diseases [I60-I69],0
Saskatchewan,1179844,5,2020-01-25,Influenza and pneumonia [J09-J18],0
Saskatchewan,1179844,10,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
Saskatchewan,1179844,5,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Saskatchewan,1179844,10,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Saskatchewan,1179844,5,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Saskatchewan,1179844,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Saskatchewan,1179844,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Saskatchewan,1179844,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Saskatchewan,1179844,10,2020-01-25,Ill-defined and unspecified causes of mortality [R99],1
Saskatchewan,1179844,0,2020-01-25,Information unavailable,0
Saskatchewan,1179844,50,2020-01-25,All other causes of death,4
Alberta,4442879,610,2020-01-25,"Total, all causes of death [A00-Y89]",14
Alberta,4442879,140,2020-01-25,Malignant neoplasms [C00-C97],3
Alberta,4442879,15,2020-01-25,Diabetes mellitus [E10-E14],0
Alberta,4442879,5,2020-01-25,Alzheimer's disease [G30],0
Alberta,4442879,145,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Alberta,4442879,25,2020-01-25,Cerebrovascular diseases [I60-I69],1
Alberta,4442879,20,2020-01-25,Influenza and pneumonia [J09-J18],0
Alberta,4442879,40,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
Alberta,4442879,5,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Alberta,4442879,25,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Alberta,4442879,20,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Alberta,4442879,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Alberta,4442879,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Alberta,4442879,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Alberta,4442879,5,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
Alberta,4442879,0,2020-01-25,Information unavailable,0
Alberta,4442879,175,2020-01-25,All other causes of death,4
British Columbia,5214805,870,2020-01-25,"Total, all causes of death [A00-Y89]",17
British Columbia,5214805,220,2020-01-25,Malignant neoplasms [C00-C97],4
British Columbia,5214805,30,2020-01-25,Diabetes mellitus [E10-E14],1
British Columbia,5214805,25,2020-01-25,Alzheimer's disease [G30],0
British Columbia,5214805,160,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
British Columbia,5214805,60,2020-01-25,Cerebrovascular diseases [I60-I69],1
British Columbia,5214805,25,2020-01-25,Influenza and pneumonia [J09-J18],0
British Columbia,5214805,35,2020-01-25,Chronic lower respiratory diseases [J40-J47],1
British Columbia,5214805,10,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
British Columbia,5214805,20,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
British Columbia,5214805,20,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
British Columbia,5214805,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
British Columbia,5214805,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
British Columbia,5214805,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
British Columbia,5214805,40,2020-01-25,Ill-defined and unspecified causes of mortality [R99],1
British Columbia,5214805,0,2020-01-25,Information unavailable,0
British Columbia,5214805,220,2020-01-25,All other causes of death,4
Yukon,42986,,2020-01-25,"Total, all causes of death [A00-Y89]",
Yukon,42986,,2020-01-25,Malignant neoplasms [C00-C97],
Yukon,42986,,2020-01-25,Diabetes mellitus [E10-E14],
Yukon,42986,,2020-01-25,Alzheimer's disease [G30],
Yukon,42986,,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",
Yukon,42986,,2020-01-25,Cerebrovascular diseases [I60-I69],
Yukon,42986,,2020-01-25,Influenza and pneumonia [J09-J18],
Yukon,42986,,2020-01-25,Chronic lower respiratory diseases [J40-J47],
Yukon,42986,,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",
Yukon,42986,,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",
Yukon,42986,,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",
Yukon,42986,,2020-01-25,"COVID-19 [U07.1,U07.2]",
Yukon,42986,,2020-01-25,"COVID-19, virus identified  [U07.1]",
Yukon,42986,,2020-01-25,"COVID-19, virus not identified  [U07.2]",
Yukon,42986,,2020-01-25,Ill-defined and unspecified causes of mortality [R99],
Yukon,42986,,2020-01-25,Information unavailable,
Yukon,42986,,2020-01-25,All other causes of death,
Northwest Territories,45504,5,2020-01-25,"Total, all causes of death [A00-Y89]",11
Northwest Territories,45504,0,2020-01-25,Malignant neoplasms [C00-C97],0
Northwest Territories,45504,0,2020-01-25,Diabetes mellitus [E10-E14],0
Northwest Territories,45504,0,2020-01-25,Alzheimer's disease [G30],0
Northwest Territories,45504,0,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",0
Northwest Territories,45504,0,2020-01-25,Cerebrovascular diseases [I60-I69],0
Northwest Territories,45504,0,2020-01-25,Influenza and pneumonia [J09-J18],0
Northwest Territories,45504,0,2020-01-25,Chronic lower respiratory diseases [J40-J47],0
Northwest Territories,45504,0,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Northwest Territories,45504,0,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Northwest Territories,45504,0,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Northwest Territories,45504,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Northwest Territories,45504,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Northwest Territories,45504,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Northwest Territories,45504,0,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
Northwest Territories,45504,0,2020-01-25,Information unavailable,0
Northwest Territories,45504,0,2020-01-25,All other causes of death,0
Nunavut,39403,5,2020-01-25,"Total, all causes of death [A00-Y89]",13
Nunavut,39403,0,2020-01-25,Malignant neoplasms [C00-C97],0
Nunavut,39403,0,2020-01-25,Diabetes mellitus [E10-E14],0
Nunavut,39403,0,2020-01-25,Alzheimer's disease [G30],0
Nunavut,39403,0,2020-01-25,"Diseases of heart [I00-I09, I11, I13, I20-I51]",0
Nunavut,39403,0,2020-01-25,Cerebrovascular diseases [I60-I69],0
Nunavut,39403,0,2020-01-25,Influenza and pneumonia [J09-J18],0
Nunavut,39403,0,2020-01-25,Chronic lower respiratory diseases [J40-J47],0
Nunavut,39403,0,2020-01-25,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Nunavut,39403,0,2020-01-25,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Nunavut,39403,0,2020-01-25,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Nunavut,39403,0,2020-01-25,"COVID-19 [U07.1,U07.2]",0
Nunavut,39403,0,2020-01-25,"COVID-19, virus identified  [U07.1]",0
Nunavut,39403,0,2020-01-25,"COVID-19, virus not identified  [U07.2]",0
Nunavut,39403,0,2020-01-25,Ill-defined and unspecified causes of mortality [R99],0
Nunavut,39403,0,2020-01-25,Information unavailable,0
Nunavut,39403,0,2020-01-25,All other causes of death,0
Canada,38246108,5850,2020-02-01,"Total, all causes of death [A00-Y89]",15
Canada,38246108,1595,2020-02-01,Malignant neoplasms [C00-C97],4
Canada,38246108,140,2020-02-01,Diabetes mellitus [E10-E14],0
Canada,38246108,130,2020-02-01,Alzheimer's disease [G30],0
Canada,38246108,1075,2020-02-01,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Canada,38246108,310,2020-02-01,Cerebrovascular diseases [I60-I69],1
Canada,38246108,230,2020-02-01,Influenza and pneumonia [J09-J18],1
Canada,38246108,270,2020-02-01,Chronic lower respiratory diseases [J40-J47],1
Canada,38246108,80,2020-02-01,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Canada,38246108,255,2020-02-01,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Canada,38246108,85,2020-02-01,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Canada,38246108,0,2020-02-01,"COVID-19 [U07.1,U07.2]",0
Canada,38246108,0,2020-02-01,"COVID-19, virus identified  [U07.1]",0
Canada,38246108,0,2020-02-01,"COVID-19, virus not identified  [U07.2]",0
Canada,38246108,105,2020-02-01,Ill-defined and unspecified causes of mortality [R99],0
Canada,38246108,10,2020-02-01,Information unavailable,0
Canada,38246108,1555,2020-02-01,All other causes of death,4
Newfoundland and Labrador,520553,125,2020-02-01,"Total, all causes of death [A00-Y89]",24
Newfoundland and Labrador,520553,35,2020-02-01,Malignant neoplasms [C00-C97],7
Newfoundland and Labrador,520553,0,2020-02-01,Diabetes mellitus [E10-E14],0
Newfoundland and Labrador,520553,5,2020-02-01,Alzheimer's disease [G30],1
Newfoundland and Labrador,520553,20,2020-02-01,"Diseases of heart [I00-I09, I11, I13, I20-I51]",4
Newfoundland and Labrador,520553,10,2020-02-01,Cerebrovascular diseases [I60-I69],2
Newfoundland and Labrador,520553,0,2020-02-01,Influenza and pneumonia [J09-J18],0
Newfoundland and Labrador,520553,10,2020-02-01,Chronic lower respiratory diseases [J40-J47],2
Newfoundland and Labrador,520553,5,2020-02-01,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",1
Newfoundland and Labrador,520553,5,2020-02-01,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Newfoundland and Labrador,520553,0,2020-02-01,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Newfoundland and Labrador,520553,0,2020-02-01,"COVID-19 [U07.1,U07.2]",0
Newfoundland and Labrador,520553,0,2020-02-01,"COVID-19, virus identified  [U07.1]",0
Newfoundland and Labrador,520553,0,2020-02-01,"COVID-19, virus not identified  [U07.2]",0
Newfoundland and Labrador,520553,0,2020-02-01,Ill-defined and unspecified causes of mortality [R99],0
Newfoundland and Labrador,520553,0,2020-02-01,Information unavailable,0
Newfoundland and Labrador,520553,35,2020-02-01,All other causes of death,7
Prince Edward Island,164318,35,2020-02-01,"Total, all causes of death [A00-Y89]",21
Prince Edward Island,164318,10,2020-02-01,Malignant neoplasms [C00-C97],6
Prince Edward Island,164318,5,2020-02-01,Diabetes mellitus [E10-E14],3
Prince Edward Island,164318,0,2020-02-01,Alzheimer's disease [G30],0
Prince Edward Island,164318,10,2020-02-01,"Diseases of heart [I00-I09, I11, I13, I20-I51]",6
Prince Edward Island,164318,5,2020-02-01,Cerebrovascular diseases [I60-I69],3
Prince Edward Island,164318,0,2020-02-01,Influenza and pneumonia [J09-J18],0
Prince Edward Island,164318,0,2020-02-01,Chronic lower respiratory diseases [J40-J47],0
Prince Edward Island,164318,0,2020-02-01,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Prince Edward Island,164318,5,2020-02-01,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3
Prince Edward Island,164318,0,2020-02-01,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Prince Edward Island,164318,0,2020-02-01,"COVID-19 [U07.1,U07.2]",0
Prince Edward Island,164318,0,2020-02-01,"COVID-19, virus identified  [U07.1]",0
Prince Edward Island,164318,0,2020-02-01,"COVID-19, virus not identified  [U07.2]",0
Prince Edward Island,164318,0,2020-02-01,Ill-defined and unspecified causes of mortality [R99],0
Prince Edward Island,164318,0,2020-02-01,Information unavailable,0
Prince Edward Island,164318,10,2020-02-01,All other causes of death,6
Nova Scotia,992055,195,2020-02-01,"Total, all causes of death [A00-Y89]",20
Nova Scotia,992055,55,2020-02-01,Malignant neoplasms [C00-C97],6
Nova Scotia,992055,5,2020-02-01,Diabetes mellitus [E10-E14],1
Nova Scotia,992055,5,2020-02-01,Alzheimer's disease [G30],1
Nova Scotia,992055,40,2020-02-01,"Diseases of heart [I00-I09, I11, I13, I20-I51]",4
Nova Scotia,992055,15,2020-02-01,Cerebrovascular diseases [I60-I69],2
Nova Scotia,992055,5,2020-02-01,Influenza and pneumonia [J09-J18],1
Nova Scotia,992055,5,2020-02-01,Chronic lower respiratory diseases [J40-J47],1
Nova Scotia,992055,0,2020-02-01,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Nova Scotia,992055,10,2020-02-01,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
